epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16060.5,1.2778,0.7155,0.84526,0.83772,0.50312,0.58413,0.37532,1.14104,0.63956,0.83876,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,16558.2,1.27199,0.71076,0.84385,0.83764,0.50638,0.58611,0.37783,1.13541,0.63454,0.83878,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17058.3,1.27202,0.71099,0.84556,0.84527,0.50378,0.58603,0.37862,1.13492,0.6337,0.8378,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,17556,1.26089,0.70533,0.84332,0.84875,0.50375,0.58857,0.38123,1.12709,0.62715,0.83659,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18054.7,1.25952,0.70113,0.84263,0.83287,0.51236,0.59045,0.38135,1.12591,0.62497,0.83645,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,18553.3,1.25652,0.70013,0.84162,0.84188,0.50758,0.59042,0.38193,1.12303,0.62329,0.83564,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19050.9,1.25158,0.69704,0.84002,0.84239,0.5132,0.59476,0.3842,1.11958,0.62172,0.83502,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,19549.3,1.25174,0.69663,0.84003,0.84838,0.51069,0.59498,0.38606,1.11266,0.61909,0.83353,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20047.6,1.23868,0.69,0.83941,0.84123,0.51429,0.5951,0.38671,1.10705,0.61421,0.83262,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,20545.2,1.2391,0.68949,0.83647,0.84355,0.5142,0.59596,0.38794,1.10377,0.61378,0.83203,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,21043.5,1.23414,0.68677,0.83723,0.84592,0.51448,0.59685,0.38972,1.10021,0.61135,0.83137,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,21543.3,1.22851,0.68416,0.83672,0.83984,0.51957,0.59721,0.39112,1.09631,0.60999,0.83111,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22042.7,1.2282,0.68285,0.83702,0.8485,0.51729,0.60091,0.39286,1.09311,0.60469,0.83036,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,22541.2,1.2198,0.67846,0.83506,0.85245,0.51645,0.59896,0.39244,1.09313,0.60617,0.83038,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23038.7,1.21882,0.6774,0.83467,0.84511,0.52125,0.60279,0.39368,1.08896,0.60228,0.8294,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,23536.7,1.21551,0.67444,0.83423,0.84613,0.51844,0.60209,0.39425,1.08693,0.60015,0.82923,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,24034.9,1.21329,0.67104,0.83281,0.84102,0.52119,0.60378,0.39581,1.08371,0.59821,0.82937,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,24533.9,1.20317,0.66687,0.83371,0.8468,0.52139,0.6036,0.39607,1.08392,0.59673,0.82964,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,25031.5,1.20588,0.66684,0.83164,0.8496,0.52297,0.60568,0.39775,1.08118,0.59512,0.82846,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,25529.2,1.20023,0.66422,0.83097,0.85356,0.52221,0.60559,0.39859,1.07672,0.59369,0.82732,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26027.5,1.20267,0.66529,0.83125,0.8506,0.52483,0.60773,0.40009,1.07238,0.59152,0.82673,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,26525.7,1.19563,0.66117,0.83077,0.84707,0.52522,0.60831,0.40039,1.07135,0.59023,0.82655,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27023.8,1.19385,0.66022,0.83023,0.84962,0.52588,0.608,0.40071,1.0684,0.58823,0.82575,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,27521.5,1.18921,0.65563,0.82838,0.85092,0.52603,0.60894,0.40138,1.06641,0.58662,0.82546,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,28018.9,1.18467,0.65135,0.82707,0.85426,0.52466,0.60926,0.40209,1.06485,0.58586,0.82562,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,28517.4,1.18161,0.65183,0.82816,0.85074,0.52789,0.6107,0.40306,1.06272,0.58445,0.82524,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,29015.3,1.17682,0.65012,0.82857,0.8547,0.52734,0.61041,0.40342,1.06112,0.58419,0.82539,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,29512.9,1.17552,0.64704,0.82823,0.85511,0.52801,0.61202,0.40431,1.05893,0.58216,0.82442,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,30010.8,1.17593,0.64662,0.8271,0.85758,0.52564,0.61145,0.40442,1.05652,0.58133,0.82424,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,30509.2,1.16914,0.64339,0.82529,0.85818,0.52628,0.6124,0.40561,1.0557,0.58045,0.82357,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,31007.6,1.16447,0.64077,0.82618,0.86301,0.52431,0.61239,0.40562,1.05535,0.57887,0.82374,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,31505.5,1.1636,0.63893,0.82531,0.85303,0.52908,0.61354,0.40664,1.05302,0.57716,0.82316,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,32004,1.16186,0.63796,0.82442,0.85408,0.53039,0.61423,0.4073,1.05024,0.57553,0.82261,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,32502,1.15687,0.63482,0.82435,0.85505,0.53053,0.61544,0.40796,1.04848,0.57453,0.82242,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,32999.4,1.15494,0.63333,0.82444,0.85285,0.5323,0.61513,0.40844,1.04772,0.57451,0.82214,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,33497.7,1.14541,0.62834,0.82209,0.84975,0.53328,0.61641,0.40907,1.04617,0.57371,0.82178,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,33995.8,1.14034,0.6253,0.82275,0.85438,0.53228,0.61716,0.40937,1.04457,0.57258,0.82163,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,34493.9,1.13622,0.62257,0.82089,0.85108,0.5337,0.6174,0.40968,1.04328,0.57227,0.82148,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,34992.8,1.1401,0.62363,0.82135,0.8535,0.53329,0.61772,0.41016,1.04187,0.57167,0.82111,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,35490.7,1.13943,0.62279,0.82018,0.84919,0.53666,0.61908,0.41102,1.04078,0.57018,0.82093,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,35990.7,1.1308,0.61839,0.82042,0.85097,0.53757,0.6198,0.41143,1.04063,0.56907,0.82092,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,36488.7,1.13526,0.61916,0.81908,0.85294,0.5366,0.61982,0.41194,1.03959,0.56786,0.82068,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,36986.9,1.12585,0.61444,0.81808,0.85439,0.53678,0.62055,0.41227,1.03826,0.5669,0.82053,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,37485.1,1.12744,0.61432,0.81877,0.8513,0.53852,0.62085,0.41299,1.03665,0.56604,0.82042,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,37983.6,1.12294,0.61073,0.8182,0.85342,0.53766,0.62057,0.41331,1.0355,0.56532,0.82032,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,38480.7,1.12167,0.60868,0.81681,0.85257,0.53807,0.62056,0.41364,1.0347,0.56441,0.82024,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,38979.4,1.1183,0.60804,0.81678,0.8555,0.53746,0.62105,0.41402,1.03357,0.56362,0.82014,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,39478,1.1143,0.60649,0.81769,0.85491,0.53726,0.62157,0.41438,1.0328,0.56295,0.81998,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,39975.1,1.11035,0.60176,0.81685,0.85375,0.53809,0.62199,0.41474,1.03168,0.56231,0.81973,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,40472.5,1.10401,0.59959,0.81666,0.85326,0.53913,0.62253,0.41527,1.03065,0.56145,0.81949,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,40970.2,1.10171,0.59732,0.81525,0.8539,0.53974,0.62338,0.41563,1.02995,0.5608,0.81939,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,41468.3,1.09774,0.59347,0.81405,0.85642,0.53972,0.62351,0.41585,1.02936,0.56038,0.8193,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,41966.6,1.1001,0.59391,0.81413,0.85784,0.53949,0.62376,0.41609,1.02893,0.56022,0.81915,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,42465.3,1.09539,0.59127,0.8131,0.85688,0.54042,0.62406,0.41637,1.02867,0.55987,0.81902,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,42963.4,1.09167,0.59113,0.8139,0.85696,0.54076,0.62412,0.41682,1.02843,0.55953,0.8189,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,43461.9,1.09127,0.58871,0.81211,0.85725,0.54102,0.62479,0.41715,1.02773,0.55898,0.81868,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,43962.8,1.08681,0.58448,0.81277,0.8572,0.54225,0.62527,0.41749,1.02734,0.55861,0.81857,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,44460.6,1.08197,0.58247,0.81195,0.85624,0.54264,0.62574,0.41779,1.02686,0.55831,0.81853,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,44958,1.08014,0.58293,0.8115,0.85863,0.54221,0.62637,0.41828,1.02635,0.55802,0.81844,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,45454.3,1.04948,0.56703,0.81071,0.85538,0.54412,0.6268,0.41855,1.02632,0.55787,0.81841,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,45948.1,1.04154,0.56066,0.80934,0.85717,0.54324,0.62656,0.41838,1.02619,0.55779,0.81839,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,46441.9,1.03467,0.55616,0.80839,0.85642,0.54376,0.62653,0.4182,1.02621,0.55782,0.81839,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,46936,1.03037,0.55422,0.80843,0.85792,0.5432,0.62646,0.41835,1.02599,0.55771,0.81839,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,47429,1.02067,0.54893,0.80747,0.85708,0.54394,0.62668,0.41841,1.02589,0.55755,0.81835,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,47922.2,1.02319,0.54893,0.80644,0.85855,0.54343,0.62695,0.4185,1.02586,0.55747,0.81834,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,48413.7,1.0165,0.54475,0.80697,0.85931,0.54279,0.62677,0.41856,1.02572,0.55726,0.81835,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,48906.4,1.01151,0.54112,0.80527,0.85948,0.54305,0.6268,0.41853,1.0256,0.55725,0.81832,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,49398.5,1.01347,0.54081,0.80541,0.85858,0.54293,0.6266,0.41845,1.02557,0.55724,0.8183,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,49891,1.00786,0.53928,0.8049,0.85689,0.54345,0.62659,0.41842,1.02557,0.55723,0.81828,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
